127.0.0.1 - - [25/Dec/2019:11:52:36 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [25/Dec/2019:11:52:36 +0530] "GET /frontend/main.html HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [25/Dec/2019:11:53:02 +0530] "GET /frontend/main.html HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [25/Dec/2019:11:53:02 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [25/Dec/2019:12:01:27 +0530] "GET /frontend/main.html HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [25/Dec/2019:12:01:46 +0530] "GET /frontend/main.html HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [25/Dec/2019:12:02:21 +0530] "GET /frontend/main.html HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [25/Dec/2019:12:02:51 +0530] "GET /frontend/main.html HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [25/Dec/2019:12:06:13 +0530] "GET /frontend/main.html HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [25/Dec/2019:12:06:35 +0530] "GET /frontend/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:12:06:37 +0530] "GET /frontend/main2.html HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [25/Dec/2019:12:07:23 +0530] "GET /frontend/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2019:12:07:25 +0530] "GET /frontend/main2.html HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [25/Dec/2019:12:09:29 +0530] "GET /frontend/main2.html HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [25/Dec/2019:12:09:29 +0530] "GET /frontend/pic_trulli.jpg HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [25/Dec/2019:12:11:32 +0530] "GET /frontend/main2.html HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [25/Dec/2019:12:11:32 +0530] "GET /frontend/img_girl.jpg HTTP/1.1" 404 734
0:0:0:0:0:0:0:1 - - [25/Dec/2019:12:12:20 +0530] "GET /frontend/main2.html HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [25/Dec/2019:12:12:20 +0530] "GET /frontend/img_girl.jpg HTTP/1.1" 404 734
0:0:0:0:0:0:0:1 - - [25/Dec/2019:12:12:32 +0530] "GET /frontend/main2.html HTTP/1.1" 200 684
